Gene	Cytoband	CNA	#	Freq	Cases	Gistic
CALR	19p13.3-p13.2	AMP	2	0.78%	TCGA-AA-A00E-01,TCGA-AA-3977-01	
LYL1	19p13.2	AMP	2	0.78%	TCGA-AA-A00E-01,TCGA-AA-3977-01	
DNAJB1	19p13.2	AMP	2	0.78%	TCGA-AA-A00E-01,TCGA-AA-3977-01	
NOTCH3	19p13.2-p13.1	AMP	2	0.78%	TCGA-AA-A00E-01,TCGA-AA-3977-01	
BRD4	19p13.1	AMP	2	0.78%	TCGA-AA-A00E-01,TCGA-AA-3977-01	
TPM4	19p13.1	AMP	2	0.78%	TCGA-AA-A00E-01,TCGA-AA-3977-01	
JAK3	19p13.1	AMP	2	0.78%	TCGA-AA-A00E-01,TCGA-AA-3977-01	
PIK3R2	19q13.2-q13.4	AMP	2	0.78%	TCGA-AA-A00E-01,TCGA-AA-3977-01	
ELL	19p13.1	AMP	2	0.78%	TCGA-AA-A00E-01,TCGA-AA-3977-01	
CRTC1	19p13.11	AMP	2	0.78%	TCGA-AA-A00E-01,TCGA-AA-3977-01	
MEF2B	19p13.11	AMP	2	0.78%	TCGA-AA-A00E-01,TCGA-AA-3977-01	
ELN	7q11.23	AMP	3	1.17%	TCGA-AA-A00E-01,TCGA-AA-3684-01,TCGA-AG-3605-01	
HIP1	7q11.23	AMP	3	1.17%	TCGA-AA-A00E-01,TCGA-AA-3684-01,TCGA-AG-3605-01	
MAGI2	7q21	AMP	1	0.39%	TCGA-AA-A00E-01	
CD36	7q11.2	AMP	1	0.39%	TCGA-AA-A00E-01	
HGF	7q21.1	AMP	1	0.39%	TCGA-AA-A00E-01	
PCLO	7q21.11	AMP	1	0.39%	TCGA-AA-A00E-01	
GRM3	7q21.1-q21.2	AMP	1	0.39%	TCGA-AA-A00E-01	
ABCB1	7q21.12	AMP	1	0.39%	TCGA-AA-A00E-01	
AKAP9	7q21-q22	AMP	1	0.39%	TCGA-AA-A00E-01	
CDK6	7q21-q22	AMP	1	0.39%	TCGA-AA-A00E-01	
PIK3CG	7q22.3	AMP	1	0.39%	TCGA-AA-A00E-01	
HMGN2P46	15q21.1	DEL	2	0.78%	TCGA-AA-A00E-01,TCGA-AA-3680-01	
FANCA	16q24.3	AMP	1	0.39%	TCGA-AA-A00E-01	
RPL13	16q24.3|17p11.2	AMP	1	0.39%	TCGA-AA-A00E-01	
STAT5B	17q11.2	AMP	2	0.78%	TCGA-AA-A00E-01,TCGA-AA-3977-01	
STAT5A	17q11.2	AMP	2	0.78%	TCGA-AA-A00E-01,TCGA-AA-3977-01	
STAT3	17q21.31	AMP	2	0.78%	TCGA-AA-A00E-01,TCGA-AA-3977-01	
BRCA1	17q21	AMP	2	0.78%	TCGA-AA-A00E-01,TCGA-AA-3977-01	
ETV4	17q21.31	AMP	2	0.78%	TCGA-AA-A00E-01,TCGA-AA-3977-01	
MAP3K14	17q21	AMP	2	0.78%	TCGA-AA-A00E-01,TCGA-AA-3977-01	
FSTL3	19p13	AMP	2	0.78%	TCGA-AA-A00E-01,TCGA-AA-3977-01	
STK11	19p13.3	AMP	2	0.78%	TCGA-AA-A00E-01,TCGA-AA-3977-01	
TCF3	19p13.3	AMP	2	0.78%	TCGA-AA-A00E-01,TCGA-AA-3977-01	
DOT1L	19p13.3	AMP	2	0.78%	TCGA-AA-A00E-01,TCGA-AA-3977-01	
GADD45B	19p13.3	AMP	2	0.78%	TCGA-AA-A00E-01,TCGA-AA-3977-01	
GNA11	19p13.3	AMP	2	0.78%	TCGA-AA-A00E-01,TCGA-AA-3977-01	
MLLT1	19p13.3	AMP	2	0.78%	TCGA-AA-A00E-01,TCGA-AA-3977-01	
TNFSF9	19p13.3	AMP	2	0.78%	TCGA-AA-A00E-01,TCGA-AA-3977-01	
KMT2B	19q13.1	AMP	2	0.78%	TCGA-AA-A00E-01,TCGA-AA-3522-01	
AKT2	19q13.1-q13.2	AMP	3	1.17%	TCGA-AA-A00E-01,TCGA-AA-3522-01,TCGA-AA-A00K-01	
AXL	19q13.1	AMP	2	0.78%	TCGA-AA-A00E-01,TCGA-AA-A00K-01	
RPS19	19q13.2	AMP	2	0.78%	TCGA-AA-A00E-01,TCGA-AA-A00K-01	
CD79A	19q13.2	AMP	2	0.78%	TCGA-AA-A00E-01,TCGA-AA-A00K-01	
CIC	19q13.2	AMP	2	0.78%	TCGA-AA-A00E-01,TCGA-AA-A00K-01	
BCL3	19q13.1-q13.2	AMP	3	1.17%	TCGA-AA-A00E-01,TCGA-AA-3977-01,TCGA-AA-A00K-01	
CBLC	19q13.2	AMP	3	1.17%	TCGA-AA-A00E-01,TCGA-AA-3977-01,TCGA-AA-A00K-01	
ERCC2	19q13.3	AMP	3	1.17%	TCGA-AA-A00E-01,TCGA-AA-3977-01,TCGA-AA-A00K-01	
ARHGAP35	19q13.3	AMP	3	1.17%	TCGA-AA-A00E-01,TCGA-AA-3977-01,TCGA-AA-A00K-01	
BBC3	19q13.3-q13.4	AMP	3	1.17%	TCGA-AA-A00E-01,TCGA-AA-3977-01,TCGA-AA-A00K-01	
U2AF2	19q13.42	AMP	2	0.78%	TCGA-AA-A00E-01,TCGA-AA-A00K-01	
CRKL	22q11.21	AMP	1	0.39%	TCGA-AA-A00E-01	
MAPK1	22q11.21	AMP	1	0.39%	TCGA-AA-A00E-01	
TRIOBP	22q13.1	AMP	1	0.39%	TCGA-AA-A00E-01	
SOX10	22q13.1	AMP	1	0.39%	TCGA-AA-A00E-01	
TPRX1	19q13.33	AMP	3	1.17%	TCGA-AA-A00E-01,TCGA-AA-3977-01,TCGA-AA-A00K-01	
NR1H2	19q13.3	AMP	3	1.17%	TCGA-AA-A00E-01,TCGA-AA-3977-01,TCGA-AA-A00K-01	
POLD1	19q13.3	AMP	3	1.17%	TCGA-AA-A00E-01,TCGA-AA-3977-01,TCGA-AA-A00K-01	
KLK2	19q13.41	AMP	3	1.17%	TCGA-AA-A00E-01,TCGA-AA-3977-01,TCGA-AA-A00K-01	
BRSK1	19q13.4	AMP	2	0.78%	TCGA-AA-A00E-01,TCGA-AA-A00K-01	
MLLT10	10p12	DEL	1	0.39%	TCGA-AA-A00J-01	
HSP90AA1	14q32.33	DEL	1	0.39%	TCGA-AA-A00J-01	
TRAF3	14q32.32	DEL	1	0.39%	TCGA-AA-A00J-01	
XRCC3	14q32.3	DEL	1	0.39%	TCGA-AA-A00J-01	
AKT1	14q32.32	DEL	1	0.39%	TCGA-AA-A00J-01	
AHNAK2	14q32.33	DEL	1	0.39%	TCGA-AA-A00J-01	
FAM175A	4q21.23	DEL	2	0.78%	TCGA-AA-A00J-01,TCGA-AA-3680-01	
SDHAF2	11q12.2	DEL	1	0.39%	TCGA-AA-A00J-01	
SYK	9q22	AMP	2	0.78%	TCGA-AA-A010-01,TCGA-CM-4746-01	
ROR2	9q22	AMP	2	0.78%	TCGA-AA-A010-01,TCGA-CM-4746-01	
OMD	9q22.31	AMP	1	0.39%	TCGA-AA-A010-01	
FANCC	9q22.3	AMP	1	0.39%	TCGA-AA-A010-01	
PTCH1	9q22.3	AMP	1	0.39%	TCGA-AA-A010-01	
XPA	9q22.3	AMP	1	0.39%	TCGA-AA-A010-01	
TGFBR1	9q22	AMP	1	0.39%	TCGA-AA-A010-01	
NR4A3	9q22	AMP	1	0.39%	TCGA-AA-A010-01	
FAM46C	1p12	DEL	2	0.78%	TCGA-AA-A01Q-01,TCGA-AZ-4615-01	
IL21R	16p11	DEL	1	0.39%	TCGA-AA-A01Q-01	
SNED1	2q37.3	DEL	1	0.39%	TCGA-AA-A01Q-01	
PASK	2q37.3	DEL	1	0.39%	TCGA-AA-A01Q-01	
D2HGDH	2q37.3	DEL	1	0.39%	TCGA-AA-A01Q-01	
PDCD1	2q37.3	DEL	1	0.39%	TCGA-AA-A01Q-01	
